,Rendement Annuel (%),Volatilité (%),Sharpe Ratio,Skewness,Kurtosis,Min Return (%),Max Return (%),Secteur
PH,22.890027838637046,35.91351962074991,0.5816758719066712,-0.43873962174044817,12.090171331710367,-18.258193012446345,16.906290290921866,Industrials
GD,9.860030953711094,24.640949935501546,0.31898246513567735,-0.4845498586991735,7.8480321477094375,-11.570556056442339,8.75302044041058,Industrials
UPS,4.819133209391961,29.60579828587851,0.09522233388777235,0.12135467449347384,9.799457979738488,-12.844710243014159,13.43194208912219,Industrials
FDX,13.200582074354125,36.974154135797974,0.3029300422456411,-1.1052254666373065,17.692208808506166,-24.08469243999915,14.434039273287066,Industrials
CMI,15.35158390292185,29.015192473784413,0.46015837789065756,0.5266449827670275,12.869880028229305,-12.5323288833509,19.182918175930485,Industrials
DAL,0.9066273237442252,48.39833598613876,-0.02259112124369143,-0.793458302609795,14.37939763555731,-30.100298947929797,19.076166766085116,Industrials
LUV,-8.404729446197523,41.099906223480694,-0.25315701183408595,-0.38814187966131014,5.468293470937873,-16.380718558893975,13.491654011391368,Industrials
UNP,6.44537594072385,27.119070079749864,0.1639206627532286,-0.4048842940278866,12.791794175015307,-13.965752743460147,12.22546948760339,Industrials
NSC,5.374317488934268,30.66289261482798,0.11004563500648057,-0.04327543599969204,12.153556926865853,-14.971182916206697,16.51694665580503,Industrials
CSX,6.653376734945647,28.803817662018773,0.16155416582440293,-0.3998429830892143,13.932469107178537,-16.90174394856576,15.229065814757096,Industrials
ROP,7.368931666952741,25.253006614710205,0.2126056413348131,-0.7186413636590998,10.591607054715732,-10.746226837895499,10.65082913699818,Industrials
ROK,8.078700519536183,34.63929530929482,0.1754856865666396,-1.12654832657028,16.43987257464852,-19.30684558142391,16.197999208962752,Industrials
OTIS,15.143619097236035,24.645193538729742,0.5333136896077093,0.23261718110697993,8.707889336940678,-11.778335873277227,10.844048114657388,Industrials
AAPL,23.875808770011194,31.079260886215447,0.7038715898071357,-0.10908702547490366,5.693758812321047,-13.770807194034665,11.315760385897807,Information Technology
MSFT,19.50426173248439,29.96867993774931,0.5840851772198207,-0.28457560132401905,7.940949654023214,-15.945327516274926,13.292900740965843,Information Technology
NVDA,60.155351005631466,52.54786790905766,1.1067119051581396,0.14451095000667313,3.720268558077526,-20.39791388403078,21.80879899837926,Information Technology
AVGO,40.85988063087047,40.947496135229706,0.9490172610929651,0.009228531494842283,11.938432205211653,-22.205521547286754,21.859430401383406,Information Technology
AMD,17.39639686558577,51.42606358203121,0.29938898280687054,-0.03841932139846494,2.3212440732948942,-15.828033410268997,15.273480298186804,Information Technology
INTC,-19.02675787439805,43.41273290597919,-0.48434540898258116,-1.49114171250581,17.44112759707525,-30.189614287692606,17.832464023270894,Information Technology
QCOM,12.758063149596193,40.71649878472527,0.2642187680840589,-0.08703892768145018,4.27195473563477,-16.18752189991971,14.168118451074468,Information Technology
TXN,9.831411777315134,30.74969275285433,0.2546826025306606,-0.02688811834646353,4.208609724492549,-12.585488429826116,12.689181162336268,Information Technology
MU,8.496344827358913,46.40129332121285,0.14000352926346216,-0.31623836148278556,4.848744863318492,-22.087791871381622,13.743931117838834,Information Technology
ORCL,23.285727970139288,31.950400661147082,0.6662116133029766,0.5226015498883182,15.88857577126344,-14.497227587253143,18.58749538276153,Information Technology
CRM,13.523054907697126,39.24952806458593,0.29358454676794316,-0.20057130523298428,14.118443701663669,-21.98631324082186,23.146804314351684,Information Technology
NOW,24.967900031168135,41.65755135783199,0.551350218208396,-0.08290517716280044,3.1133283147461257,-13.623836763218236,12.613877353127045,Information Technology
PANW,29.64899233227109,41.8186606952654,0.6611639845128142,-1.5304124813875204,25.15727400452254,-33.46491967606081,17.05907163002308,Information Technology
ANET,41.66952359336397,41.577491320359904,0.9541105615946186,0.3914775070376449,7.676026721286389,-17.104675076951665,18.55511678332714,Information Technology
ADBE,5.506264501371446,38.462407768946996,0.09116081661955296,-0.8087289408955806,9.392201183395041,-18.3840752745506,16.313277614308603,Information Technology
